year,attitude
1972,0.195118718
1974,0.16710356
1976,0.069831648
1978,0.198026966
1980,0.217700496
1982,0.237374026
1984,0.221435787
1986,0.195912926
1988,0.242314042
1990,0.261291358
1992,0.285503007
1994,0.327234235
1996,0.311634413
1998,0.324794682
2000,0.203164375
2002,0.229997773
2004,0.235891163
2006,0.253087881
2008,0.309075334
2010,0.355354392
2012,0.316366402
2014,0.356220747
2016,0.377762081
2018,0.401686674
